Student: 0.0, Chaotic: NaN, Goal: NaN, Queue: 0.0, tick: 1.0, run: 1
Student: 20.666666666666668, Chaotic: 16.0, Goal: NaN, Queue: 23.0, tick: 1411.0, run: 1
Student: 21.666666666666668, Chaotic: 17.0, Goal: NaN, Queue: 24.0, tick: 1426.0, run: 1
Student: 22.333333333333332, Chaotic: 17.0, Goal: NaN, Queue: 25.0, tick: 1441.0, run: 1
Student: 22.666666666666668, Chaotic: 18.0, Goal: NaN, Queue: 25.0, tick: 1456.0, run: 1
Student: 26.0, Chaotic: NaN, Goal: NaN, Queue: 26.0, tick: 1471.0, run: 1
Student: 27.0, Chaotic: NaN, Goal: NaN, Queue: 27.0, tick: 1486.0, run: 1
Student: 28.0, Chaotic: NaN, Goal: NaN, Queue: 28.0, tick: 1501.0, run: 1
Student: 28.0, Chaotic: NaN, Goal: NaN, Queue: 28.0, tick: 1516.0, run: 1
Student: 14.0, Chaotic: NaN, Goal: NaN, Queue: 14.0, tick: 1531.0, run: 1
Student: 15.0, Chaotic: NaN, Goal: NaN, Queue: 15.0, tick: 1546.0, run: 1
Student: 15.0, Chaotic: NaN, Goal: NaN, Queue: 15.0, tick: 1561.0, run: 1
Student: 16.0, Chaotic: NaN, Goal: NaN, Queue: 16.0, tick: 1576.0, run: 1
Student: NaN, Chaotic: NaN, Goal: NaN, Queue: NaN, tick: 1584.01, run: 1
